z,y,x,label
96,71520,307736,0
44,74576,317328,0
56,74944,317224,0
70,75224,317064,0
78,75200,317080,0
80,75216,317072,0
84,75432,316992,0
92,75432,316984,0
18,79304,303160,0
26,79160,303376,0
36,79040,303552,0
28,78976,303504,0
34,78992,303608,0
44,79008,303664,0
48,78944,303808,0
52,78912,303888,0
54,78904,303928,0
56,78880,303992,0
66,78832,304168,0
68,78840,304112,0
76,78776,304368,0
68,78800,304320,0
72,78800,304336,0
88,78768,304576,0
80,78840,304400,0
96,78736,304688,0
16,77824,315440,0
40,78432,317368,0
54,78480,317280,0
52,78496,317336,0
18,80368,307104,0
28,80368,307120,0
70,80248,307328,0
74,80232,307384,0
72,80200,307352,0
82,80224,307384,0
20,85456,318336,0
34,85408,318440,0
58,85416,318544,0
66,85000,319488,0
74,84960,319544,0
80,84896,319504,0
96,84624,319480,0
188,55128,304968,0
116,71552,307776,0
138,71584,307784,0
172,71632,307824,0
184,71648,307832,0
110,77256,314416,0
116,77776,315560,0
128,77800,315584,0
174,77296,314512,0
160,76144,316512,0
184,77776,315712,0
188,77792,315736,0
138,75840,316608,0
116,78816,304920,0
140,78880,304960,0
128,78800,304928,0
148,78928,305032,0
154,78904,305016,0
168,78824,305096,0
176,78872,305216,0
194,78848,305160,0
124,78344,317008,0
114,80104,307504,0
146,80032,307616,0
148,79952,307728,0
174,79928,307720,0
178,83912,319400,0
194,83744,319408,0
200,83824,319416,0
108,85336,318544,0
140,84312,319400,0
154,85312,318816,0
230,52920,304448,0
238,53040,304472,0
226,71712,307880,0
250,71720,307920,0
256,71760,307904,0
216,78776,305392,0
208,78824,305296,0
256,78784,305600,0
256,78768,305600,0
260,78800,305584,0
264,78792,305600,0
246,79688,307992,0
256,79744,308000,0
202,83688,319408,0
216,83592,319424,0
208,83904,319440,0
230,83440,319440,0
292,51808,304616,0
260,55200,304808,0
264,55032,304744,0
274,54992,304664,0
276,53968,304792,0
306,56160,305440,0
304,71840,307944,0
280,77200,316144,0
292,77776,315840,0
284,79552,308128,0
276,79608,308136,0
304,79376,308336,0
300,79496,308232,0
302,77848,315920,0
260,78304,316656,0
292,78192,316664,0
302,83160,319440,0
296,83120,319456,0
308,83104,319464,0
268,85128,318880,0
308,51696,304640,0
318,51640,304656,0
364,51360,304712,0
388,51248,304752,0
392,51232,304752,0
320,56320,305552,0
356,56552,305712,0
364,56560,305728,0
378,57608,306080,0
386,57816,306072,0
388,58400,306160,0
388,57928,306088,0
388,57992,306096,0
388,58080,306112,0
392,58192,306128,0
394,58376,306168,0
400,58640,306240,0
392,58824,306336,0
406,58896,306384,0
320,71856,307912,0
328,71856,307920,0
352,71904,307968,0
372,71888,307952,0
384,71904,307968,0
388,71952,308000,0
304,77296,314624,0
320,77808,315912,0
344,77384,316120,0
338,77760,315944,0
382,77744,316016,0
392,77648,316064,0
394,77704,316008,0
402,77688,316056,0
316,78736,305920,0
334,78728,305960,0
320,78512,305872,0
348,78704,306016,0
358,78632,306128,0
352,78688,306032,0
376,78688,306128,0
360,78656,305952,0
326,79288,308504,0
336,79200,308536,0
328,79056,308696,0
332,79056,308720,0
332,79072,308704,0
332,79072,308672,0
356,79216,308568,0
378,78880,308800,0
408,78640,308856,0
328,77848,315920,0
332,78208,316640,0
376,78200,316544,0
312,83152,319472,0
