z,y,x,label
2062,75624,311944,0
2064,75608,311848,0
2060,75576,312064,0
2080,75096,311200,0
2082,75672,311000,0
2078,75648,310944,0
2090,75536,311312,0
2064,77664,309696,0
2102,76200,310496,0
2156,75536,312424,0
2146,75512,312352,0
2208,75584,312512,0
2358,75872,312688,0
2390,75896,312640,0
2386,76248,312712,0
2392,76128,312568,0
2408,76112,312560,0
2398,76288,312592,0
2478,75744,312808,0
2502,75776,312488,0
2500,75752,313008,0
2498,75808,312536,0
2460,76568,312296,0
2478,76680,312336,0
2498,76088,312296,0
2418,76488,312720,0
2424,75904,312624,0
2426,76472,312512,0
2430,76344,312992,0
2432,75968,313024,0
2428,75792,312784,0
2428,75808,312784,0
2432,75808,312784,0
2444,75880,312544,0
2472,76856,312784,0
2466,75816,312544,0
2470,76320,313128,0
2478,76160,313192,0
2480,76896,312880,0
2490,76976,312672,0
2494,76240,313224,0
2492,76072,313264,0
2496,76376,313216,0
2506,76792,312312,0
2474,79200,308640,0
2490,78576,309296,0
2464,79480,310600,0
2524,75768,312512,0
2580,75784,312976,0
2572,75728,312640,0
2592,75832,313064,0
2594,75664,314704,0
2588,75664,314656,0
2502,76384,312184,0
2512,76728,312240,0
2516,76048,312264,0
2512,76336,312176,0
2540,76560,312096,0
2544,76664,312144,0
2554,76728,312208,0
2560,76064,312176,0
2560,76536,312112,0
2562,76616,312160,0
2568,76192,312080,0
2588,76400,312080,0
2576,76528,311984,0
2576,76544,311992,0
2600,76736,312000,0
2602,76808,312168,0
2512,76736,313128,0
2508,76904,312944,0
2514,76264,313264,0
2534,76136,313304,0
2542,76984,312912,0
2558,76456,313344,0
2564,75832,312360,0
2562,76392,313488,0
2562,76512,313768,0
2568,76632,313312,0
2572,77032,312456,0
2570,76928,313000,0
2564,76288,313408,0
2576,76560,313312,0
2590,76568,313288,0
2596,77008,312424,0
2598,76872,313136,0
2598,77072,312720,0
2588,75800,314584,0
2588,75808,314664,0
2512,79336,308264,0
2520,78272,309496,0
2570,77960,309704,0
2602,75744,314664,0
2592,77048,312616,0
2634,73664,317200,0
2642,73624,317248,0
2644,73568,317296,0
2618,75880,312944,0
2634,75784,312672,0
2658,75776,312912,0
2686,75784,312664,0
2684,75784,312544,0
2700,75768,312848,0
2690,75768,312744,0
